허가기관명,시군명,용도,세부용도,사업상태,발전소명,소재지도로명주소,소재지지번주소,설비용량(KW),공급전압(V),주파수(Hz),사업허가일자,사업개시예정일자,사업개시일자,소요부지면적(㎡),집광판면적(㎡),위도,경도,설치위치구분,지목,비고,데이터기준일자
고양시,고양시,전기사업용,발전사업용,미운영,벽제농협빛모아1호태양광발전소,경기도 고양시 덕양구 성현로 682,경기도 고양시 덕양구 관산동 358-3,,380,60,2021-01-06,,,,,37.69341177,126.8566507,건물,잡종지,,2021-06-25
고양시,고양시,전기사업용,발전사업용,미운영,벽제농협빛모아2호태양광발전소,경기도 고양시 덕양구 성현로 682,경기도 고양시 덕양구 관산동 358-3,,380,60,2021-01-06,,,,,37.69341177,126.8566507,건물,잡종지,,2021-06-25
고양시,고양시,전기사업용,발전사업용,미운영,보람태양광발전소,경기도 고양시 덕양구 대장동 119-3,경기도 고양시 덕양구 대장동 119-3,,380,60,,,,1119,,37.64443985,126.8196199,건물,전,,2021-06-25
고양시,고양시,전기사업용,발전사업용,운영중,보운푸드 태양광발전소,경기도 고양시 일산동구 문봉길62번길 32-51,경기도 고양시 일산동구 문봉동 195-32,19.5,220,60,2020-06-12,,2020-08-13,98.81,,37.70841795,126.8180164,건물,대지,,2021-06-25
고양시,고양시,전기사업용,발전사업용,운영중,봉명 태양광발전소,경기도 고양시 일산서구 산남로 128-14,경기도 고양시 일산서구 산남로 128-14,56.25,380,60,2019-11-18,,2020-04-02,296.6,,37.69740814,126.7076914,건물,공장용지,,2021-06-25
고양시,고양시,전기사업용,발전사업용,운영중,봉명2호 태양광발전소,경기도 고양시 일산서구 산남로 128-14,경기도 고양시 일산서구 구산동 284-6,11.25,380,60,2020-05-29,,2020-12-08,59.11,,37.69740814,126.7076914,토지,대지,,2021-06-25
고양시,고양시,전기사업용,발전사업용,운영중,빙석촌태양광발전소1호기,경기도 고양시 일산동구 견달산로369번길 80,경기도 고양시 일산동구 문봉동 259-19,24,380,60,2015-12-11,,2016-01-18,115,,37.69674123,126.8172159,건물,잡종지,,2021-06-25
고양시,고양시,전기사업용,발전사업용,운영중,빙석촌태양광발전소2호기,경기도 고양시 일산동구 성현로268번길 160,경기도 고양시 일산동구 문봉동 249-3,5.4,380,60,2015-12-11,,2016-01-18,34,,37.69960537,126.8168607,건물,대지,,2021-06-25
고양시,고양시,전기사업용,발전사업용,운영중,사랑제1 태양광발전소,경기도 고양시 일산서구 덕이로276번길 26-9,"경기도 고양시 일산서구 덕이동 1102-5 , 1112-8",64.68,380,60,2020-09-01,,2020-12-31,295,,37.70172622,126.7351088,건물,잡종지,,2021-06-25
고양시,고양시,전기사업용,발전사업용,운영중,사랑제2 태양광발전소,경기도 고양시 일산서구 덕이로276번길 26-20,"경기도 고양시 일산서구 덕이동 1112-4, 1112-6",35.28,380,60,2020-09-01,,2020-12-31,170.5,,37.70254294,126.7359626,건물,대지,,2021-06-25
고양시,고양시,전기사업용,발전사업용,운영중,사리재 마을회 태양광발전소,경기도 고양시 일산동구 성현로 566,경기도 고양시 일산동구 사리현동 109-1,10.92,380,60,2020-03-24,,2020-07-03,57.51,,37.69373671,126.8436492,건물,대지,,2021-06-25
고양시,고양시,전기사업용,발전사업용,미운영,사리현동294-27호 태양광발전소,경기도 고양시 일산동구 공릉천로175번길 93-85,경기도 고양시 일산동구 사리현동 294-27,,380,60,2020-09-07,,,326.38,,37.70244429,126.8405663,건물,공장용지,,2021-06-25
고양시,고양시,전기사업용,발전사업용,미운영,사리현동294-29호 태양광발전소,경기도 고양시 일산동구 공릉천로175번길 93-91,경기도 고양시 일산동구 사리현동 294-29,,380,60,2020-09-07,,,349.74,,37.70203123,126.8408422,건물,공장용지,,2021-06-25
고양시,고양시,전기사업용,발전사업용,운영중,사리현태양광발전소,경기도 고양시 일산동구 공릉천로71번길 38-22,경기도 고양시 일산동구 사리현동 252-16,93.5,380,60,2015-03-27,,2015-07-16,1698,,37.70101833,126.8434602,건물,공장용지,,2021-06-25
고양시,고양시,전기사업용,발전사업용,미운영,산황6통태양광발전소,경기도 고양시 일산동구 산황로 178-8,경기도 고양시 일산동구 산황동 470,10.13,380,60,2021-06-08,,,50,,37.65041528,126.8098297,건물,대지,,2021-06-25
고양시,고양시,전기사업용,발전사업용,미운영,삼성태양광발전소,경기도 고양시 일산서구 송포로 348,경기도 고양시 일산서구 가좌동 114-16,97.5,380,60,2014-06-27,,2014-10-06,606,,37.69398661,126.7258534,건물,답,,2021-06-25
고양시,고양시,전기사업용,발전사업용,운영중,삼양에스앤이가좌태양광발전소,경기도 고양시 일산서구 중앙로 1775,경기도 고양시 일산서구 가좌동 169,198.72,380,60,2014-05-11,,2015-05-26,1387,,37.68579404,126.7272881,건물,답,,2021-06-25
고양시,고양시,전기사업용,발전사업용,운영중,삼양에스앤이구산태양광발전소,경기도 고양시 일산서구 구산로 38,경기도 고양시 일산서구 구산동 904-1,99.2,380,60,2016-04-27,,2016-06-27,757,,37.68759165,126.7021704,건물,답,,2021-06-25
고양시,고양시,전기사업용,발전사업용,운영중,삼원태양광발전소,경기도 고양시 일산동구 은마길 31-37,경기도 고양시 일산동구 성석동 521-14,99.96,380,60,2016-11-02,,2017-02-08,555,,37.71055829,126.8063793,건물,공장용지,,2021-06-25
고양시,고양시,전기사업용,발전사업용,운영중,새암 태양광발전소,경기도 고양시 일산서구 송산로 576-13,경기도 고양시 일산서구 덕이동 866-3,66.75,380,60,2020-08-14,,2020-12-01,494,,37.69208812,126.7416163,건물,전,,2021-06-25
고양시,고양시,전기사업용,발전사업용,운영중,샘물 태양광발전소,경기도 고양시 덕양구 중앙로 64번길 38,경기도 고양시 덕양구 중앙로 64번길 38,19.98,380,60,2019-12-09,,2020-04-10,104,,37.59755627,126.8769839,건물,대지,,2021-06-25
고양시,고양시,전기사업용,발전사업용,운영중,서광태양광발전소,경기도 고양시 일산서구 송파로 176-1,경기도 고양시 일산서구 가좌동 604-1,35.49,380,60,2018-08-03,,2019-05-13,299,,37.69866381,126.7162083,건물,공장용지,,2021-06-25
고양시,고양시,전기사업용,발전사업용,운영중,서원이에스태양광발전소,경기도 고양시 일산동구 문봉길 6-48,경기도 고양시 일산동구 문봉동 168-12,,380,60,2019-03-06,,2019-05-07,530,,37.70393001,126.8243876,건물,대,,2021-06-25
고양시,고양시,전기사업용,발전사업용,운영중,선우상사,경기도 고양시 일산서구 법곳길 546-16,경기도 고양시 일산서구 구산동 1563,30,380,60,2017-11-16,,2018-02-06,181.6,,37.68381725,126.6879551,건물,창고용지,,2021-06-25
고양시,고양시,전기사업용,발전사업용,운영중,선원태양광발전소,경기도 고양시 일산서구 법곳길 388,경기도 고양시 일산서구 법곳동 1800,30,380,60,2014-08-08,,2015-02-05,175,,37.67337935,126.6983992,건물,창고용지,,2021-06-25
고양시,고양시,전기사업용,발전사업용,운영중,설문번영태양광발전소,"경기도 고양시 일산동구 고봉로 739, 741","경기도 고양시 일산동구 설문동 722-6,722-63",99.2,380,60,2015-10-13,,2016-03-15,618,,37.72313392,126.7901037,건물,창고용지,,2021-06-25
고양시,고양시,전기사업용,발전사업용,운영중,설문태양광발전소,"경기도 고양시 일산동구 고봉로 778, 774, 고봉로770번길 5","경기도 고양시 일산동구 설문동706-2,30,31,54",99,380,60,2016-10-12,,2017-03-29,517,,37.7244913,126.7940056,건물,대지,,2021-06-25
고양시,고양시,전기사업용,발전사업용,미운영,설문태양광발전소,경기도 고양시 일산동구 은마길79번길 128-91,경기도 고양시 일산동구 설문동 566-5,,380,60,2015-05-18,,,696,,37.72134092,126.8022847,건물,대지,,2021-06-25
고양시,고양시,전기사업용,발전사업용,운영중,성서합판 태양광발전소,경기도 고양시 일산동구 고봉로814번길 26-15,경기도 고양시 일산동구 설문동 543-9,19.5,380,60,2020-04-29,,2020-06-12,106.27,,37.72452329,126.797852,건물,대지,,2021-06-25
고양시,고양시,전기사업용,발전사업용,운영중,성석번영 태양광발전소,경기도 고양시 일산동구 중산로 306-198,경기도 고양시 일산동구 성석동 936-3,,380,60,2018-12-06,,2019-04-01,167,,37.70057348,126.7915214,건물,대지,,2021-06-25
고양시,고양시,전기사업용,발전사업용,미운영,성석부동산 태양광발전소,경기도 고양시 일산동구 고봉로551번길 17,경기도 고양시 일산동구 성석동 2125,,380,60,2014-03-06,,,169,,37.70763007,126.7824578,건물,대지,,2021-06-25
고양시,고양시,전기사업용,발전사업용,미운영,성진발전소,"경기도 고양시 일산동구 동국로 137-12, 151","경기도 고양시 일산동구 식사동 736-4, 736-1",,380,60,2021-02-24,,,,,37.68507805,126.8048587,건물,공장용지,,2021-06-25
