도로종류,노선명,시설명,시도,시군구,읍면동,리,총길이,총폭,유효폭,높이,교통량,준공년도
고속국도,고속국도20호선,소양2터널(장수),전라북도,완주군,소양면,화심리,360,13.8,,8.4,8175,2007
고속국도,고속국도253호선,송강정터널(고창),전라남도,담양군,봉산면,양지리,126,11.4,,7.3,6052,2006
고속국도,고속국도253호선,송강정터널(담양),전라남도,담양군,봉산면,양지리,126,11.4,,7.3,6052,2006
고속국도,고속국도60호선,송산터널(서울),경기도,가평군,설악면,송산리,1154,12.5,,7.4,25812,2009
고속국도,고속국도60호선,송산터널(양양),경기도,가평군,설악면,미사리,1136,12.5,,7.4,25812,2009
고속국도,고속국도12호선,수동터널(광주),경상남도,함양군,수동면,하교리,624,11.6,,8.2,7119,2015
고속국도,고속국도12호선,수동터널(대구),경상남도,함양군,수동면,하교리,514,11.6,,8.2,7119,2015
고속국도,고속국도100호선,수락산터널(일산),서울특별시,노원구,상계동,,2950,17.6,16.7,9.1,68845,2006
고속국도,고속국도100호선,수락산터널(퇴계원),경기도,의정부시,장암동,,2950,17.6,16.7,9.1,84565,2006
고속국도,고속국도17호선,수리산1터널(광명),경기도,군포시,대야미동,,1730,11.3,11.3,4.8,45080,2016
고속국도,고속국도17호선,수리산1터널(수원),경기도,군포시,속달동,,1749,11.3,11.3,4.8,45080,2016
고속국도,고속국도17호선,수리산2터널(광명),경기도,군포시,속달동,,2995,11.3,11.3,4.8,45080,2016
고속국도,고속국도17호선,수리산2터널(수원),경기도,안산시,수암동,,2998,11.3,11.3,4.8,29864,2016
고속국도,고속국도17호선,수리산3터널(광명),경기도,안산시,수암동,,905,11.3,11.3,4.8,29864,2000
고속국도,고속국도17호선,수리산3터널(수원),경기도,시흥시,조남동,,908,11.3,11.3,4.8,29864,2016
고속국도,고속국도40호선,수리산터널(제천),충청북도,음성군,생극면,오생리,212,10.3,,7.4,14913,2013
고속국도,고속국도40호선,수리산터널(평택),충청북도,음성군,생극면,오생리,212,10.3,,7.4,14913,2013
고속국도,고속국도100호선,수리터널(일산),경기도,군포시,산본동,,1882,17.9,,8.6,69651,1999
고속국도,고속국도100호선,수리터널(판교),경기도,군포시,산본동,,1865,17.9,,8.6,69651,1999
고속국도,고속국도30호선,수리티터널(영덕),충청북도,보은군,회북면,건천리,903,10.7,,4.8,22071,2007
고속국도,고속국도30호선,수리티터널(청주),충청북도,보은군,회북면,건천리,825,10.7,,4.8,22071,2007
고속국도,고속국도400호선,수안산터널(김포),경기도,김포시,대곶면,대능리,245,10.7,8.9,6.5,22485,2017
고속국도,고속국도400호선,수안산터널(인천),경기도,김포시,대곶면,대능리,220,10.7,8.9,6.5,22485,2017
고속국도,고속국도100호선,수암터널(일산),경기도,안양시,안양동,,1294,17.9,,8.6,79060,1999
고속국도,고속국도100호선,수암터널(판교),경기도,안산시,수암동,,1254,17.9,,8.6,79060,1999
고속국도,고속국도30호선,수한터널(영덕),충청북도,보은군,수한면,교암리,214,10.7,,4.8,22071,2007
고속국도,고속국도30호선,수한터널(청주),충청북도,보은군,수한면,교암리,214,10.7,,4.8,22071,2007
고속국도,고속국도15호선,순산터널(목포),경기도,군포시,둔대동,,627,13.6,,7.3,55319,1996
고속국도,고속국도15호선,순산터널(서울),경기도,군포시,둔대동,,684,13.6,,7.3,55319,1996
고속국도,고속국도25호선,순천1터널(순천),전라남도,순천시,승주읍,두월리,430,10,,6.7,17689,1996
고속국도,고속국도25호선,순천1터널(천안),전라남도,순천시,승주읍,두월리,430,10,,6.7,17689,1996
고속국도,고속국도25호선,순천2터널(순천),전라남도,순천시,승주읍,신성리,881,13.6,,8.3,17052,1996
고속국도,고속국도25호선,순천2터널(천안),전라남도,순천시,승주읍,신성리,861,13.6,,8.3,17052,1996
고속국도,고속국도27호선,슬치터널(순천),전라북도,임실군,관촌면,슬치리,1172,12.7,,7.3,14563,2010
고속국도,고속국도27호선,슬치터널(완주),전라북도,임실군,관촌면,슬치리,1189,12.7,,7.3,14563,2010
고속국도,고속국도40호선,신니터널(제천),충청북도,충주시,신니면,문락리,309,10.5,,7.5,14913,2013
고속국도,고속국도40호선,신니터널(평택),충청북도,충주시,신니면,문락리,309,10.5,,7.5,14913,2013
고속국도,고속국도27호선,신리1터널(순천),전라북도,완주군,상관면,죽림리,104,11.5,,7.3,12441,2010
고속국도,고속국도27호선,신리1터널(완주),전라북도,완주군,상관면,신리,171,11.5,,7.3,12441,2010
고속국도,고속국도27호선,신리2터널(순천),전라북도,완주군,상관면,신리,885,11.5,,7.3,12441,2010
고속국도,고속국도27호선,신리2터널(완주),전라북도,완주군,상관면,신리,864,11.5,,7.3,12441,2010
고속국도,고속국도27호선,신리3터널(순천),전라북도,완주군,상관면,신리,623,11.5,,7.3,12441,2010
고속국도,고속국도27호선,신리3터널(완주),전라북도,완주군,상관면,신리,593,11.5,,7.3,12441,2010
고속국도,고속국도14호선,신불산터널(울산),울산광역시,울주군,상북면,이천리,6449,13,,7.6,3815,2020
고속국도,고속국도14호선,신불산터널(함양),울산광역시,울주군,삼남읍,가천리,6459,13,,7.6,3815,2020
고속국도,고속국도600호선,신어산터널(기장),경상남도,김해시,대동면,,4297,12.7,,8.6,23843,2017
고속국도,고속국도600호선,신어산터널(창원),경상남도,김해시,상동면,,4292,12.7,,8.6,23843,2017
고속국도,고속국도30호선,신영터널(당진),충청남도,공주시,유구읍,신영리,680,11.6,,7.3,13908,2009
고속국도,고속국도30호선,신영터널(대전),충청남도,공주시,유구읍,녹천리,686,11.6,,7.3,13908,2009
고속국도,고속국도35호선,신율터널(통영),경상남도,진주시,내동면,신율리,225,10,,6.7,17302,1996
고속국도,고속국도35호선,신율터널(하남),경상남도,진주시,내동면,신율리,230,10,,6.7,17302,1996
고속국도,고속국도171호선,심곡터널(서울),경기도,성남시,고등동,,1205,11,8.5,4.8,25646,2009
고속국도,고속국도171호선,심곡터널(용인),경기도,성남시,심곡동,,1215,11,8.5,7,25646,2009
고속국도,고속국도12호선,쌍림터널(광주),경상북도,고령군,쌍림면,산당리,846,11.6,,7.3,11460,2015
고속국도,고속국도12호선,쌍림터널(대구),경상북도,고령군,쌍림면,산당리,856,11.6,,7.3,11460,2015
고속국도,고속국도30호선,안사1터널(상주),경상북도,의성군,안사면,중하리,878,10.4,,7.3,4425,2016
고속국도,고속국도30호선,안사1터널(영덕),경상북도,의성군,안사면,중하리,839,10.4,,7.3,4425,2016
고속국도,고속국도30호선,안사2터널(상주),경상북도,의성군,안사면,중하리,1467,10.7,,7.3,4425,2016
고속국도,고속국도30호선,안사2터널(영덕),경상북도,의성군,안사면,중하리,1474,10.7,,7.3,4425,2016
고속국도,고속국도100호선,안양터널(일산),경기도,안양시,호계동,,390,18.4,,8,69651,1996
고속국도,고속국도100호선,안양터널(판교),경기도,안양시,호계동,,390,18.4,,8,69651,1996
고속국도,고속국도300호선,안영1터널(산내),대전광역시,서구,괴곡동,,718,10,,6.7,20512,2000
고속국도,고속국도300호선,안영1터널(서대전),대전광역시,서구,괴곡동,,738,10,,6.7,20512,2000
고속국도,고속국도300호선,안영2터널(산내),대전광역시,중구,안영동,,600,11.2,,6.6,20512,2000
고속국도,고속국도300호선,안영2터널(서대전),대전광역시,중구,안영동,,600,11.2,,6.6,20512,2000
고속국도,고속국도40호선,안진터널(제천),경기도,안성시,금광면,옥정리,2300,12.4,,7.5,18731,2008
고속국도,고속국도40호선,안진터널(평택),경기도,안성시,금광면,옥정리,2355,12.4,,7.5,18731,2008
고속국도,고속국도30호선,안평1터널(상주),경상북도,의성군,안평면,삼춘리,2654,10.7,,7.3,4425,2016
고속국도,고속국도30호선,안평1터널(영덕),경상북도,의성군,안평면,삼춘리,2643,10.7,,7.3,4425,2016
고속국도,고속국도30호선,안평2터널(상주),경상북도,의성군,안평면,삼춘리,402,11.7,,7.3,5059,2016
고속국도,고속국도30호선,안평2터널(영덕),경상북도,의성군,안평면,삼춘리,420,11.7,,7.3,5059,2016
고속국도,고속국도30호선,안평3터널(상주),경상북도,안동시,일직면,평팔리,1470,12.8,,7.4,5059,2016
고속국도,고속국도30호선,안평3터널(영덕),경상북도,안동시,일직면,평팔리,1420,12.8,,7.4,5059,2016
고속국도,고속국도151호선,앵봉터널(공주),충청남도,청양군,청남면,내직리,760,10.7,,7.3,10676,2009
고속국도,고속국도151호선,앵봉터널(서천),충청남도,청양군,청남면,내직리,760,10.7,,7.3,10676,2009
고속국도,고속국도12호선,야로1터널(광주),경상남도,합천군,야로면,묵촌리,594,12.2,,7.2,11460,2015
고속국도,고속국도12호선,야로1터널(대구),경상남도,합천군,야로면,묵촌리,627,12.2,,7.2,11460,2015
고속국도,고속국도12호선,야로2터널(광주),경상남도,합천군,야로면,묵촌리,773,12.2,,7.2,11460,2015
고속국도,고속국도12호선,야로2터널(대구),경상남도,합천군,야로면,묵촌리,789,12.2,,7.2,11460,2015
